id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,3,Trả lời chỉ nêu thời gian xử lý (4 giờ) mà không đề cập đến SLA phản hồi ban đầu (15 phút).,5,Trả lời đúng trọng tâm về SLA xử lý ticket P1.,5,Retrieved: 1/1 expected sources,2,"Thiếu thông tin về SLA phản hồi ban đầu (15 phút), chỉ nêu một phần của đáp án mẫu.",variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Trả lời chính xác và bám sát ngữ cảnh được cung cấp.,5,Trả lời trực tiếp và đúng trọng tâm câu hỏi.,5,Retrieved: 1/1 expected sources,5,Bao phủ đầy đủ nội dung của đáp án mẫu.,variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Đáp án RAG chính xác và bám sát ngữ cảnh cung cấp.,5,Trả lời đúng trọng tâm câu hỏi về người phê duyệt cho Level 3.,5,Retrieved: 1/1 expected sources,5,Bao phủ đầy đủ các thành phần trong đáp án mẫu.,variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,Sản phẩm kỹ thuật số không được hoàn tiền [1].,"Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"Trả lời chính xác dựa trên ngữ cảnh, không thêm thông tin sai lệch.",5,Trả lời trực tiếp và đúng trọng tâm câu hỏi.,5,Retrieved: 1/1 expected sources,4,Bao phủ ý chính của đáp án mẫu nhưng thiếu một số chi tiết nhỏ như việc nêu rõ lý do (danh mục kỹ thuật số là ngoại lệ).,variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Trả lời chính xác và bám sát ngữ cảnh cung cấp.,5,Trả lời trực tiếp và đúng trọng tâm câu hỏi.,5,Retrieved: 1/1 expected sources,5,Bao phủ đầy đủ nội dung của đáp án mẫu.,variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra tự động nếu không có phản hồi trong 10 phút, và sẽ được escalate lên Senior Engineer [2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"Câu trả lời RAG bám sát nội dung ngữ cảnh, không thêm thông tin không có trong tài liệu.",5,Trả lời đúng trọng tâm câu hỏi về quy trình escalation trong sự cố P1.,5,Retrieved: 1/1 expected sources,5,"Bao phủ đầy đủ các thông tin chính từ đáp án mẫu, bao gồm thời gian và hành động escalation.",variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Tôi không biết.,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,Trả lời 'Tôi không biết' chính xác khi không có thông tin trong ngữ cảnh về tài liệu 'Approval Matrix for System Access' hay tên gọi khác.,5,Trả lời trực tiếp và phù hợp với câu hỏi.,5,Retrieved: 1/1 expected sources,5,"Không có đáp án mẫu, do đó việc trả lời ngắn gọn là đủ để thể hiện sự thiếu thông tin.",variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"Trả lời chính xác nội dung trong ngữ cảnh, không thêm thông tin sai lệch.",5,Trả lời trực tiếp câu hỏi về số ngày remote mỗi tuần.,5,Retrieved: 1/1 expected sources,4,"Đáp án RAG thiếu thông tin về việc cần sự phê duyệt của Team Lead, dù vẫn đúng về số ngày.",variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,Trả lời trung thực và không bịa đặt thông tin.,5,Trả lời trực tiếp và đúng trọng tâm câu hỏi.,,No expected sources,5,Bao phủ đầy đủ ý của đáp án mẫu bằng cách thừa nhận không có thông tin.,variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,Trả lời 'Tôi không biết' chính xác khi không có thông tin trong ngữ cảnh liên quan đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP.,5,Trả lời trực tiếp và đúng trọng tâm câu hỏi.,5,Retrieved: 1/1 expected sources,5,Bao phủ đủ ý của đáp án mẫu bằng cách xác nhận rằng không có thông tin nào được cung cấp về quy trình đặc biệt cho khách hàng VIP.,variant_hybrid_rerank
